3241,ABINGTON SD,ABINGTON SHS,S,Total,All Students,557,23.16,60.5,11.85,4.49,71
3241,ABINGTON SD,ABINGTON SHS,S,11,Historically Underperforming,182,11.54,53.3,24.18,10.99,
3241,ABINGTON SD,ABINGTON SHS,S,Total,Historically Underperforming,182,11.54,53.3,24.18,10.99,
7846,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,E,11,All Students,25,0,0,32,68,
7846,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,E,Total,All Students,25,0,0,32,68,50
7846,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,E,11,Historically Underperforming,22,0,0,31.82,68.18,
7846,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,E,Total,Historically Underperforming,22,0,0,31.82,68.18,
7846,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,M,11,All Students,25,0,0,24,76,
7846,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,M,Total,All Students,25,0,0,24,76,50
7846,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,M,11,Historically Underperforming,22,0,0,27.27,72.73,
7846,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,M,Total,Historically Underperforming,22,0,0,27.27,72.73,
7846,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,S,11,All Students,25,0,0,0,100,
7846,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,S,Total,All Students,25,0,0,0,100,50
7846,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,S,11,Historically Underperforming,22,0,0,0,100,
7846,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,S,Total,Historically Underperforming,22,0,0,0,100,
7824,ACHIEVEMENT HOUSE CS,ACHIEVEMENT HOUSE CS,E,11,All Students,119,2.52,28.57,39.5,29.41,
7824,ACHIEVEMENT HOUSE CS,ACHIEVEMENT HOUSE CS,E,Total,All Students,119,2.52,28.57,39.5,29.41,63
7824,ACHIEVEMENT HOUSE CS,ACHIEVEMENT HOUSE CS,E,11,Historically Underperforming,88,2.27,27.27,36.36,34.09,
7824,ACHIEVEMENT HOUSE CS,ACHIEVEMENT HOUSE CS,E,Total,Historically Underperforming,88,2.27,27.27,36.36,34.09,
7824,ACHIEVEMENT HOUSE CS,ACHIEVEMENT HOUSE CS,M,11,All Students,119,0.84,17.65,38.66,42.86,
7824,ACHIEVEMENT HOUSE CS,ACHIEVEMENT HOUSE CS,M,Total,All Students,119,0.84,17.65,38.66,42.86,50
7824,ACHIEVEMENT HOUSE CS,ACHIEVEMENT HOUSE CS,M,11,Historically Underperforming,87,1.15,13.79,35.63,49.43,
7824,ACHIEVEMENT HOUSE CS,ACHIEVEMENT HOUSE CS,M,Total,Historically Underperforming,87,1.15,13.79,35.63,49.43,
7824,ACHIEVEMENT HOUSE CS,ACHIEVEMENT HOUSE CS,S,11,All Students,119,2.52,11.76,27.73,57.98,
7824,ACHIEVEMENT HOUSE CS,ACHIEVEMENT HOUSE CS,S,Total,All Students,119,2.52,11.76,27.73,57.98,75
7824,ACHIEVEMENT HOUSE CS,ACHIEVEMENT HOUSE CS,S,11,Historically Underperforming,88,3.41,10.23,25,61.36,
7824,ACHIEVEMENT HOUSE CS,ACHIEVEMENT HOUSE CS,S,Total,Historically Underperforming,88,3.41,10.23,25,61.36,
8217,ACT ACADEMY CYBER CS,ACT ACADEMY CYBER CS,E,11,All Students,24,0,29.17,41.67,29.17,
8217,ACT ACADEMY CYBER CS,ACT ACADEMY CYBER CS,E,Total,All Students,24,0,29.17,41.67,29.17,52
8217,ACT ACADEMY CYBER CS,ACT ACADEMY CYBER CS,E,11,Historically Underperforming,23,0,26.09,43.48,30.43,
8217,ACT ACADEMY CYBER CS,ACT ACADEMY CYBER CS,E,Total,Historically Underperforming,23,0,26.09,43.48,30.43,
8217,ACT ACADEMY CYBER CS,ACT ACADEMY CYBER CS,M,11,All Students,26,0,11.54,50,38.46,
8217,ACT ACADEMY CYBER CS,ACT ACADEMY CYBER CS,M,Total,All Students,26,0,11.54,50,38.46,50
8217,ACT ACADEMY CYBER CS,ACT ACADEMY CYBER CS,M,11,Historically Underperforming,25,0,8,52,40,
8217,ACT ACADEMY CYBER CS,ACT ACADEMY CYBER CS,M,Total,Historically Underperforming,25,0,8,52,40,
8217,ACT ACADEMY CYBER CS,ACT ACADEMY CYBER CS,S,11,All Students,24,0,8.33,20.83,70.83,
8217,ACT ACADEMY CYBER CS,ACT ACADEMY CYBER CS,S,Total,All Students,24,0,8.33,20.83,70.83,56
